UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
125091001,Victor Valley College,Victor Valley College,18422 BEAR VALLEY RD,VICTORVILLE,CA,923955849,4,"Public, 2-year",,0,0,1,0,0,7,33,5,0,46
125170001,Berkeley City College,Main Campus,2050 Center Street,BERKELEY,CA,947041183,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
125301001,Maxine Waters Employment Preparation Center,Maxine Waters Employment Preparation Center,10925 S Central Ave,Los Angeles,CA,90059,99,not Dertermined yet,2177,0,0,0,0,0,0,4,0,0,4
125462001,West Hills College-Coalinga,Main Campus,300 Cherry Lane,Coalinga,CA,93210,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
125471001,West Los Angeles College,West Los Angeles College,9000 OVERLAND AVENUE,CULVER CITY,CA,902303519,4,"Public, 2-year",,0,0,0,0,2,1,8,1,0,12
125499001,West Valley College,WEST VALLEY COLLEGE,14000 FRUITVALE AVE,SARATOGA,CA,950705698,4,"Public, 2-year",,0,0,0,0,0,3,2,2,0,7
125505001,West Valley Occupational Center,West Valley Occupational Center,6200 Winnetka Ave,Woodland Hills,CA,91367,7,"Public, less-than 2-year",,,,,,,,,,,0
125532001,Western Career College-Sacramento,Western Career College - Sacramento,8909 FOLSOM BLVD,SACRAMENTO,CA,95826,6,"Private for-profit, 2-year",,0,0,0,0,0,0,4,0,0,4
125532002,Western Career College-Sacramento,Western Career College - Citrus Heights,"7301 Greenback Lane, Suite A",Citrus Heights,CA,95621,6,"Private for-profit, 2-year",,0,0,0,0,0,0,0,0,0,0
125532003,Western Career College-Sacramento,Western Career College - Stockton,"1313 W. Robinhood Drive, Suite B",Stockton,CA,95207,6,"Private for-profit, 2-year",,0,0,0,0,0,0,0,0,0,0
125718001,Westminster Theological Seminary in California,Main Campus,1725 BEAR VALLEY PARKWAY,ESCONDIDO,CA,92027,2,"Private nonprofit, 4-year or above",147,0,0,0,0,0,0,0,1,0,1
125727001,Westmont College,Westmont College,955 LA PAZ RD,SANTA BARBARA,CA,931081089,2,"Private nonprofit, 4-year or above",1337,0,0,0,0,0,0,3,6,0,9
125727002,Westmont College,San Francisco Urban Program,301 Lyon Street,San Francisco,CA,94117,2,"Private nonprofit, 4-year or above",1337,0,0,0,0,0,0,0,0,0,0
125763001,Whittier College,Main Campus,13406 PHILADELPHIA ST,WHITTIER,CA,90608,2,"Private nonprofit, 4-year or above",,0,0,3,0,1,1,24,2,2,33
125763002,Whittier College,Law School,3333 HARBOR BLVD,Costa Mesa,CA,926261501,2,"Private nonprofit, 4-year or above",,0,0,0,0,0,0,4,0,0,4
125897001,Woodbury University,Woodbury University - Burbank Campus,7500 GLENOAKS BLVD,BURBANK,CA,915107846,2,"Private nonprofit, 4-year or above",1539,0,0,0,0,0,0,2,0,0,2
126012001,The Wright Institute,Main Campus,2728 DURANT AVE,Berkeley,CA,947041796,2,"Private nonprofit, 4-year or above",,0,0,0,0,0,0,0,0,0,0
126030001,Western State University-College of Law-Argosy,Main Campus,1111 N STATE COLLEGE BLVD,FULLERTON,CA,928313014,3,"Private for-profit, 4-year or above",389,0,0,0,0,0,0,0,0,0,0
126049001,Thomas Jefferson School of Law,Main Campus,2121 SAN DIEGO AVE,SAN DIEGO,CA,92110,2,"Private nonprofit, 4-year or above",,0,0,0,0,0,0,0,1,0,1
126076001,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Main Campus,7215 WARING AVE,LOS ANGELES,CA,90046,2,"Private nonprofit, 4-year or above",135,0,0,0,0,0,0,0,0,0,0
