ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
234933001,Clark College,Main Campus,WA,11462,0,0,1,0,0,0,2,12,0,15
228316001,Southwest Texas Junior College,SWTJC Main Campus,TX,5410,0,0,0,0,0,0,2,0,0,2
221740001,The University of Tennessee,Chattanooga,TN,11674,0,0,2,1,3,0,26,0,0,32
222062002,Walters State Community College,Walters State Greeneville,TN,6265,0,0,0,0,0,0,0,0,0,0
222062004,Walters State Community College,Walters State,TN,6265,0,0,0,0,0,0,0,0,0,0
190673001,CUNY Queensborough Community College,Queensborough Community College,NY,16291,0,0,2,0,0,2,0,0,0,4
196176001,State University of New York,College at New Paltz,NY,7578,0,0,7,0,0,2,3,1,1,14
196264001,SUNY Empire State College,Main Campus,NY,11823,0,0,0,0,0,0,2,0,0,2
177472001,Ozarks Technical Community College, Springfield Campus,MO,14798,0,0,0,0,0,1,1,4,0,6
133553001,Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach - FL Campus,FL,5279,0,0,1,0,0,0,3,1,0,5
110510001,California State University-San Bernardino,California State University -  San Bernardino,CA,18398,0,0,2,0,0,6,8,13,0,29
110608001,California State University-Northridge,California State University -  Northridge,CA,38310,0,0,6,0,1,3,29,11,2,52
126119001,Yuba College,Yuba College - Marysville,CA,6874,0,0,0,0,0,0,2,9,0,11
409698001,California State University-Monterey Bay,California State University - Monterey Bay,CA,5732,0,0,4,0,0,3,4,0,0,11
106245001,University of Arkansas at Little Rock,University of Arkansas -  Little Rock,AR,12377,0,0,0,0,1,0,7,5,0,13
162928002,Johns Hopkins University,Johns Hopkins Medical Institutions,MD,20918,0,0,0,0,0,0,3,0,0,3
162928001,Johns Hopkins University,JHU HOMEWOOD CAMPUS,MD,20918,0,0,6,0,1,1,2,0,0,10
150987001,Ivy Tech Community College,Ivy Tech Central Indiana Main Campus,IN,98778,0,0,0,0,0,0,1,1,0,2
150987007,Ivy Tech Community College,Muncie,IN,98778,0,0,0,0,0,0,0,0,0,0
232557001,Liberty University,Main Campus,VA,77338,0,0,2,0,0,0,6,0,5,13
135717001,Miami Dade College,Main-Wolfson,FL,66298,0,0,0,0,0,0,0,1,0,1
135717002,Miami Dade College,North Campus,FL,66298,0,0,0,0,3,0,11,2,0,16
135717003,Miami Dade College,Kendall Campus,FL,66298,0,0,1,0,1,0,3,5,0,10
135717006,Miami Dade College,Homestead Campus,FL,66298,0,0,1,0,2,0,0,0,0,3
227182002,Lone Star College System,Lone Star College - North Harris,TX,64072,0,0,0,0,0,1,0,1,0,2
227182004,Lone Star College System,Lone Star College - Kingwood,TX,64072,0,0,0,0,0,0,0,0,0,0
227182005,Lone Star College System,Lone Star College - Montgomery,TX,64072,0,0,0,0,0,0,0,0,0,0
227182006,Lone Star College System,Lone Star College - Cy-Fair,TX,64072,0,0,0,0,1,1,0,0,0,2
132903001,University of Central Florida,Main Campus,FL,59589,0,0,14,0,5,10,26,13,0,68
132903004,University of Central Florida,UCF Ocala,FL,59589,0,0,0,0,0,1,0,0,0,1
132903008,University of Central Florida,UCF Daytona Beach,FL,59589,0,0,0,0,0,1,2,4,0,7
132903009,University of Central Florida,Rosen College of Hospitality Management,FL,59589,0,0,1,0,0,0,2,0,0,3
132903010,University of Central Florida,UCF Valencia West,FL,59589,0,0,0,0,0,1,0,1,0,2
132903012,University of Central Florida,UCF Center for Emerging Media,FL,59589,0,0,0,0,0,0,0,0,0,0
132903015,University of Central Florida,UCF Sanford/Lake Mary,FL,59589,0,0,0,0,1,0,0,0,0,1
132903017,University of Central Florida,UCF Altamonte Springs,FL,59589,0,0,0,0,0,0,1,0,0,1
154022001,Ashford University,Iowa Campus,IA,58104,0,0,0,0,0,2,2,0,0,4
225423001,Houston Community College,CENTRAL COLLEGE - CENTRAL CAMPUS,TX,57978,0,0,0,0,2,1,5,4,0,12
225423002,Houston Community College,HCC ADMINISTRATION BUILDING,TX,57978,0,0,0,0,0,0,0,0,0,0
225423005,Houston Community College,NORTHEAST- NORTHEAST CAMPUS,TX,57978,0,0,0,0,0,0,0,0,0,0
225423007,Houston Community College,NORTHEAST - PINEMONT,TX,57978,0,0,0,0,0,0,0,0,0,0
225423009,Houston Community College,NORTHWEST - SPRING BRANCH CAMPUS,TX,57978,0,0,0,0,0,0,0,1,0,1
225423010,Houston Community College,NORTHWEST - KATY,TX,57978,0,0,0,0,0,0,0,1,0,1
225423019,Houston Community College,SOUTHWEST - WESTLOOP,TX,57978,0,0,0,0,0,0,0,0,0,0
225423030,Houston Community College,CENTRAL - SOUTH CAMPUS,TX,57978,0,0,0,0,0,0,0,0,0,0
225423033,Houston Community College,SOUTHEAST - FELIX FRAGA CAMPUS,TX,57978,0,0,0,0,0,0,0,0,0,0
204796001,Ohio State University-Main Campus,Main Campus,OH,57466,0,0,25,0,5,2,9,12,8,61
228723001,Texas A & M University-College Station,Texas A&M University,TX,55697,0,0,9,0,1,2,17,9,0,38
104717001,Grand Canyon University,Grand Canyon University,AZ,55497,0,0,1,0,0,2,28,0,0,31
228778001,The University of Texas at Austin,The University of Texas at Austin,TX,52059,0,0,8,0,4,4,37,4,1,58
232946001,Northern Virginia Community College,Annandale Campus,VA,51803,0,0,3,0,0,0,0,0,0,3
232946002,Northern Virginia Community College,Alexandria Campus,VA,51803,0,0,1,0,0,5,0,0,0,6
232946003,Northern Virginia Community College,Loudoun Campus,VA,51803,0,0,3,0,0,0,0,0,0,3
232946005,Northern Virginia Community College,Woodbridge Campus,VA,51803,0,0,1,0,0,1,3,0,0,5
232946009,Northern Virginia Community College,Arlington Center,VA,51803,0,0,0,0,0,0,0,0,0,0
174066001,University of Minnesota-Twin Cities,Main Campus,MN,51526,0,0,8,0,7,3,16,3,2,39
174066003,University of Minnesota-Twin Cities,Saint Paul,MN,51526,0,0,2,0,0,0,2,9,0,13
228547002,Tarrant County College District,South Campus,TX,50771,0,0,1,0,0,0,1,0,0,2
228547003,Tarrant County College District,Northeast Campus,TX,50771,0,0,0,0,0,0,0,0,0,0
228547004,Tarrant County College District,Northwest Campus,TX,50771,0,0,3,0,0,0,0,0,1,4
228547005,Tarrant County College District,Southeast Campus,TX,50771,0,0,0,0,0,0,0,1,0,1
228547007,Tarrant County College District,Trinity River Campus,TX,50771,0,0,1,0,0,0,0,0,0,1
134130001,University of Florida,University of Florida,FL,49878,0,0,14,0,0,5,22,19,0,60
134130002,University of Florida,University of Florida Jacksonville Regional Campus,FL,49878,0,0,0,0,0,0,1,0,0,1
171100001,Michigan State University,Main Campus,MI,49317,0,0,27,0,10,4,120,62,9,232
104151001,Arizona State University-Tempe,Tempe Campus,AZ,48702,0,0,9,0,4,13,71,29,1,127
104151002,Arizona State University-Tempe,Downtown Phoenix Campus,AZ,48702,0,0,1,1,1,0,8,0,0,11
104151003,Arizona State University-Tempe,Polytechnic Campus,AZ,48702,0,0,0,0,0,0,11,2,1,14
104151004,Arizona State University-Tempe,West Campus,AZ,48702,0,0,0,0,0,0,11,2,0,13
186380001,Rutgers University-New Brunswick,Main Campus,NJ,48036,0,0,21,0,3,6,75,5,2,112
133951001,Florida International University,Modesto A. Maidique Campus,FL,47663,0,0,2,0,1,1,25,5,1,35
151351001,Indiana University-Bloomington,Indiana University - Bloomington Campus,IN,46817,0,0,15,0,0,9,57,11,2,94
214777001,Pennsylvania State University-Main Campus,University Park Campus,PA,46615,0,0,17,0,0,19,40,3,9,88
145637001,University of Illinois at Urbana-Champaign,Main Campus,IL,44942,0,0,12,0,10,10,8,1,1,42
193900001,New York University,NYU Main Campus,NY,44599,0,0,4,0,0,0,5,0,0,9
193900002,New York University,NYU Medical Center/School of Medicine,NY,44599,0,0,0,0,0,0,3,0,0,3
132709001,Broward College,Central Campus,FL,43883,0,0,0,0,1,0,0,1,0,2
132709002,Broward College,North Campus,FL,43883,0,0,0,0,0,0,0,3,0,3
132709003,Broward College,South Campus,FL,43883,0,0,0,0,0,1,0,3,0,4
132709004,Broward College,Willis Holcombe Center,FL,43883,0,0,0,0,0,0,0,0,0,0
132709009,Broward College,Miramar Town Center,FL,43883,0,0,0,0,0,0,0,0,0,0
236948001,University of Washington-Seattle Campus,Main Campus,WA,43762,0,0,2,0,3,6,62,8,1,82
170976001,University of Michigan-Ann Arbor,Ann Arbor campus,MI,43710,0,0,21,0,6,9,25,5,2,68
240444001,University of Wisconsin-Madison,Main Campus,WI,42677,0,0,29,1,3,2,37,3,1,76
138187002,Valencia College,West Campus,FL,42180,0,0,0,0,0,1,0,1,0,2
138187003,Valencia College,East Campus,FL,42180,0,0,0,0,0,0,0,1,0,1
222992002,Austin Community College District,Cypress Creek,TX,41627,0,0,0,0,0,1,0,0,0,1
222992007,Austin Community College District,Riverside Campus,TX,41627,0,0,0,0,0,0,1,0,0,1
222992013,Austin Community College District,South Austin Campus,TX,41627,0,0,0,0,0,0,0,0,0,0
