ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
234933001,Clark College,Main Campus,WA,12314,0,0,0,0,0,0,2,9,1,12
228316001,Southwest Texas Junior College,SWTJC Main Campus,TX,5908,0,0,0,0,0,0,2,0,0,2
221740001,The University of Tennessee,Chattanooga,TN,11660,0,0,1,0,1,3,22,0,0,27
222062002,Walters State Community College,Walters State Greeneville,TN,6554,0,0,0,0,0,0,1,0,0,1
222062004,Walters State Community College,Walters State,TN,6554,0,0,0,0,0,0,0,0,0,0
190673001,CUNY Queensborough Community College,Queensborough Community College,NY,15711,0,0,0,0,1,1,0,0,0,2
196176001,State University of New York,College at New Paltz,NY,7655,0,0,6,0,0,0,9,0,2,17
196264001,SUNY Empire State College,Main Campus,NY,12028,0,0,0,0,0,0,2,0,0,2
177472001,Ozarks Technical Community College, Springfield Campus,MO,15123,0,0,0,0,0,0,1,1,0,2
133553001,Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach - FL Campus,FL,5120,0,0,2,0,1,1,1,1,0,6
110510001,California State University-San Bernardino,California State University -  San Bernardino,CA,18234,0,0,4,0,0,3,20,12,0,39
110608001,California State University-Northridge,California State University -  Northridge,CA,36164,0,0,7,0,6,3,23,11,2,52
126119001,Yuba College,Yuba College - Marysville,CA,7224,0,0,0,0,0,1,2,3,0,6
106245001,University of Arkansas at Little Rock,University of Arkansas -  Little Rock,AR,12872,0,0,0,0,2,1,10,3,0,16
162928002,Johns Hopkins University,Johns Hopkins Medical Institutions,MD,20871,0,0,0,0,0,1,0,0,0,1
162928001,Johns Hopkins University,JHU HOMEWOOD CAMPUS,MD,20871,0,0,5,0,1,0,1,0,0,7
150987001,Ivy Tech Community College,Ivy Tech Central Indiana Main Campus,IN,100272,0,0,0,0,1,1,1,1,0,4
150987007,Ivy Tech Community College,Muncie,IN,100272,0,0,0,0,0,0,0,0,0,0
154022001,Ashford University,Main Campus,IA,77734,0,0,1,0,0,1,1,0,0,3
232557001,Liberty University,Main Campus,VA,74372,0,0,1,0,0,0,2,0,0,3
104151001,Arizona State University,Tempe Campus,AZ,73378,0,0,15,1,10,10,98,8,0,142
104151002,Arizona State University,Downtown Phoenix Campus,AZ,73378,0,0,2,0,0,2,5,0,0,9
104151003,Arizona State University,Polytechnic Campus,AZ,73378,0,0,1,0,0,3,10,0,0,14
104151004,Arizona State University,West Campus,AZ,73378,0,0,0,0,1,1,7,2,0,11
135717001,Miami Dade College,Main-Wolfson,FL,66701,0,0,0,0,1,0,2,0,0,3
135717002,Miami Dade College,North Campus,FL,66701,0,0,0,0,0,0,5,3,0,8
135717003,Miami Dade College,Kendall Campus,FL,66701,0,0,0,0,4,2,0,16,0,22
135717006,Miami Dade College,Homestead Campus,FL,66701,0,0,0,0,0,0,0,0,0,0
227182002,Lone Star College System,Lone Star College - North Harris,TX,60428,0,0,0,0,0,0,0,2,0,2
227182004,Lone Star College System,Lone Star College - Kingwood,TX,60428,0,0,0,0,0,0,0,0,0,0
227182005,Lone Star College System,Lone Star College - Montgomery,TX,60428,0,0,0,0,0,0,0,0,0,0
227182006,Lone Star College System,Lone Star College - Cy-Fair,TX,60428,0,0,0,0,0,1,0,2,0,3
132903001,University of Central Florida,Main Campus,FL,59601,0,0,11,0,3,20,25,11,1,71
