state,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
US,32052874,11,2,2701,45,1903,2842,30592,5842,1016,44954
AL,311232,0,0,27,0,41,56,546,50,10,730
VA,1330735,1,1,116,0,54,70,663,57,47,1009
FL,3141500,2,0,49,3,84,118,1208,313,32,1809
GA,860172,0,0,35,0,62,80,608,145,8,938
CO,192724,0,0,41,3,126,49,609,112,43,983
AK,166256,0,0,2,0,1,9,35,3,0,50
AZ,1188180,0,0,33,0,11,71,562,229,10,916
NM,268525,0,0,7,0,10,53,238,107,20,435
NV,157742,0,0,5,0,5,14,186,59,6,275
AR,247122,0,0,11,1,4,26,307,62,3,414
CA,3284156,0,0,256,10,233,276,3526,1513,67,5881
DC,317479,0,0,31,0,16,28,286,52,1,414
HI,13475,0,0,6,0,2,17,71,26,13,135
WA,466420,0,0,40,0,13,19,440,232,9,753
CT,240012,0,0,58,0,23,27,537,54,3,702
MA,510701,0,0,141,0,53,135,1999,90,19,2437
NY,1494721,1,0,241,6,108,187,2043,155,75,2816
DE,162711,0,0,8,0,12,7,95,10,6,138
MD,719305,1,0,56,0,62,61,407,103,15,705
NC,693730,0,0,86,3,66,113,984,133,27,1412
TN,503087,1,0,43,3,42,59,808,163,25,1144
PA,944638,1,0,184,0,85,125,1331,94,38,1858
SC,722800,1,0,29,2,29,53,524,82,13,733
ID,144928,0,0,9,0,0,4,87,13,4,117
IL,2090824,0,1,90,0,174,131,1063,112,29,1600
WI,812620,0,0,91,0,15,26,402,51,12,597
IN,353990,0,0,60,0,32,49,588,65,9,803
KY,383985,0,0,22,1,16,74,363,30,46,552
OH,897006,1,0,148,2,119,79,1394,154,69,1966
MI,1471987,1,0,131,2,88,133,936,238,43,1572
IA,437366,0,0,42,0,21,57,413,28,37,598
MO,791354,1,0,59,2,29,60,530,140,15,836
KS,336593,0,0,21,2,22,45,379,71,14,554
OK,183951,0,0,20,0,8,54,436,83,16,617
LA,309526,0,0,26,0,22,35,612,61,10,766
TX,2718684,0,0,88,2,81,194,1822,415,29,2631
ME,118241,0,0,23,0,8,6,139,7,48,231
NH,107638,0,0,37,0,1,6,207,3,22,276
VT,47714,0,0,16,0,7,9,192,5,10,239
MN,525132,0,0,78,0,32,30,420,85,25,670
MS,296109,0,0,4,0,6,30,328,47,8,423
UT,272757,0,0,19,0,9,8,230,19,0,285
WY,45033,0,0,5,0,0,1,62,9,1,78
ND,80018,0,0,6,0,1,8,71,14,0,100
MT,61116,0,0,6,0,3,10,56,3,22,100
WV,124750,0,0,17,1,16,19,289,12,8,362
NE,256093,0,0,12,0,4,23,226,40,1,306
NJ,595420,0,0,87,0,23,61,691,107,17,986
SD,44122,0,0,7,1,3,2,91,4,5,113
OR,474658,0,0,29,1,14,15,383,137,15,594
RI,133836,0,0,43,0,7,20,169,45,11,295
