ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
234933001,Clark College,Main Campus,WA,12893,0,0,0,0,0,0,2,11,0,13
228316001,Southwest Texas Junior College,SWTJC Main Campus,TX,5823,0,0,0,0,0,0,2,0,0,2
222062002,Walters State Community College,Walters State Greeneville,TN,6733,0,0,0,0,0,0,0,0,0,0
222062004,Walters State Community College,Walters State,TN,6733,0,0,0,0,0,0,0,0,0,0
221740001,The University of Tennessee,Chattanooga,TN,11438,0,0,0,0,0,2,15,1,1,19
196264001,SUNY Empire State College,Main Campus,NY,11827,0,0,0,0,0,0,1,0,0,1
190673001,CUNY Queensborough Community College,Queensborough Community College,NY,16837,0,0,1,0,0,0,2,0,0,3
196176001,State University of New York,College at New Paltz,NY,7857,0,0,8,0,0,0,10,0,2,20
177472001,Ozarks Technical Community College, Springfield Campus,MO,15179,0,0,0,0,0,0,0,2,0,2
133553001,Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach - FL Campus,FL,5205,0,0,1,0,0,1,5,5,0,12
110510001,California State University-San Bernardino,California State University -  San Bernardino,CA,17250,0,0,1,0,1,3,6,12,0,23
110608001,California State University-Northridge,California State University -  Northridge,CA,36911,0,0,1,0,5,6,34,15,0,61
126119001,Yuba College,Yuba College - Marysville,CA,7299,0,0,1,0,0,0,9,1,0,11
106245001,University of Arkansas at Little Rock,University of Arkansas -  Little Rock,AR,13068,0,0,1,0,1,1,8,8,0,19
162928002,Johns Hopkins University,Johns Hopkins Medical Institutions,MD,20996,0,0,0,0,0,0,1,0,0,1
162928001,Johns Hopkins University,JHU HOMEWOOD CAMPUS,MD,20996,0,0,0,0,0,0,0,1,0,1
154022001,Ashford University,Main Campus,IA,74596,0,0,2,0,0,0,1,0,0,3
104151004,Arizona State University,West Campus,AZ,72254,0,0,0,0,0,7,6,0,1,14
104151003,Arizona State University,Polytechnic Campus,AZ,72254,0,0,4,0,0,3,12,0,0,19
104151002,Arizona State University,Downtown Phoenix Campus,AZ,72254,0,0,0,0,0,0,2,1,1,4
104151001,Arizona State University,Tempe Campus,AZ,72254,0,0,13,1,11,17,70,16,9,137
232557001,Liberty University,Main Campus,VA,64096,0,0,4,0,2,1,5,1,2,15
135717006,Miami Dade College,Homestead Campus,FL,63736,0,0,0,0,1,0,0,0,0,1
135717003,Miami Dade College,Kendall Campus,FL,63736,0,0,0,0,4,2,0,16,0,22
135717002,Miami Dade College,North Campus,FL,63736,0,0,0,0,0,0,0,17,0,17
135717001,Miami Dade College,Main-Wolfson,FL,63736,0,0,0,0,0,0,0,0,0,0
227182006,Lone Star College System,Cy-Fair College,TX,63029,0,0,0,0,1,1,0,0,0,2
227182005,Lone Star College System,Montgomery College,TX,63029,0,0,0,0,0,0,0,0,0,0
227182004,Lone Star College System,Kingwood College,TX,63029,0,0,0,0,0,0,0,0,0,0
227182002,Lone Star College System,North Harris College,TX,63029,0,0,0,0,0,0,1,1,0,2
225423033,Houston Community College,SOUTHEAST - Felix Fraga Campus,TX,63015,0,0,0,0,0,0,0,0,0,0
225423030,Houston Community College,CENTRAL - Willie Gay Hall,TX,63015,0,0,0,0,0,0,2,0,0,2
225423019,Houston Community College,SOUTHWEST - WESTLOOP,TX,63015,0,0,0,0,0,0,5,1,0,6
225423010,Houston Community College,NORTHWEST - KATY,TX,63015,0,0,0,0,0,1,1,1,0,3
225423009,Houston Community College,NORTHWEST - Spring Branch,TX,63015,0,0,0,0,0,2,2,5,0,9
225423007,Houston Community College,NORTHEAST - PINEMONT,TX,63015,0,0,0,0,0,0,0,0,0,0
225423005,Houston Community College,NORTHEAST- CODWELL,TX,63015,0,0,0,0,0,0,0,1,0,1
225423001,Houston Community College,Central College - Central Campus,TX,63015,0,0,0,0,0,2,22,3,0,27
132903017,University of Central Florida,UCF Altamonte Springs,FL,58465,0,0,0,0,2,0,0,0,0,2
132903015,University of Central Florida,UCF Sanford/Lake Mary,FL,58465,0,0,0,0,0,0,0,2,0,2
132903012,University of Central Florida,UCF Center for Emerging Media,FL,58465,0,0,0,0,0,0,0,0,0,0
132903010,University of Central Florida,UCF Valencia West,FL,58465,0,0,0,0,1,0,0,4,0,5
132903009,University of Central Florida,Rosen College of Hospitality Management,FL,58465,0,0,0,0,0,0,1,0,0,1
132903008,University of Central Florida,UCF Daytona Beach,FL,58465,0,0,0,0,1,1,2,9,0,13
132903004,University of Central Florida,UCF Ocala,FL,58465,0,0,0,0,0,0,0,0,0,0
132903001,University of Central Florida,Main Campus,FL,58465,0,0,6,0,6,11,27,20,0,70
204796001,Ohio State University-Main Campus,Main Campus,OH,56867,0,0,28,0,7,0,22,8,6,71
174066003,University of Minnesota-Twin Cities,Saint Paul,MN,52557,0,0,0,0,1,1,7,5,0,14
174066001,University of Minnesota-Twin Cities,Main Campus,MN,52557,0,0,12,0,4,1,38,1,0,56
228778001,The University of Texas at Austin,Main Campus,TX,51112,0,0,2,0,0,6,51,2,3,64
228723001,Texas A & M University-College Station,Texas A&M University,TX,50230,0,0,3,0,1,0,29,3,1,37
228547007,Tarrant County College District,Trinity River,TX,50062,0,0,0,0,0,1,1,0,0,2
228547005,Tarrant County College District,Southeast Campus,TX,50062,0,0,0,0,0,0,0,2,0,2
228547004,Tarrant County College District,Northwest Campus,TX,50062,0,0,0,0,0,0,0,1,0,1
228547003,Tarrant County College District,Northeast Campus,TX,50062,0,0,0,0,0,0,0,2,0,2
228547002,Tarrant County College District,South Campus,TX,50062,0,0,0,0,0,0,0,3,0,3
232946005,Northern Virginia Community College,Woodbridge Campus,VA,50044,0,0,0,0,0,0,0,0,0,0
232946003,Northern Virginia Community College,Loudoun Campus,VA,50044,0,0,0,0,0,0,1,0,0,1
232946002,Northern Virginia Community College,Alexandria Campus,VA,50044,0,0,2,0,2,1,0,0,0,5
232946001,Northern Virginia Community College,Main Campus,VA,50044,0,0,0,0,1,0,0,0,0,1
134130002,University of Florida,University of Florida Jacksonville Regional Campus,FL,49589,0,0,1,0,0,0,0,1,0,2
134130001,University of Florida,University of Florida,FL,49589,0,0,9,0,1,6,27,13,0,56
171100001,Michigan State University,Main Campus,MI,47825,0,0,15,0,1,10,77,9,0,112
214777001,Pennsylvania State University-Main Campus,University Park Campus,PA,45628,0,0,24,0,2,6,112,1,11,156
222992023,Austin Community College District,Pflugerville Cente,TX,45100,0,0,0,0,0,0,0,0,0,0
222992021,Austin Community College District,Lockhart Center,TX,45100,0,0,0,0,0,0,0,0,0,0
222992020,Austin Community College District,Leander Center,TX,45100,0,0,0,0,0,0,0,0,0,0
222992013,Austin Community College District,South Austin Campus,TX,45100,0,0,0,0,0,0,0,0,0,0
222992007,Austin Community College District,Riverside Campus,TX,45100,0,0,0,0,0,1,0,0,0,1
222992002,Austin Community College District,Cypress Creek,TX,45100,0,0,0,0,0,0,0,0,0,0
133951001,Florida International University,Modesto A. Maidique Campus,FL,44616,0,0,3,0,3,4,42,17,0,69
145637001,University of Illinois at Urbana-Champaign,Main Campus,IL,44407,0,0,5,0,4,4,30,5,4,52
193900002,New York University,NYU Medical Center/School of Medicine,NY,43911,0,0,0,0,0,0,7,0,0,7
193900001,New York University,NYU Main Campus,NY,43911,0,0,1,0,0,0,28,0,0,29
151351001,Indiana University-Bloomington,Indiana University - Bloomington Campus,IN,42731,0,0,11,0,3,12,89,18,3,136
170976001,University of Michigan-Ann Arbor,Ann Arbor campus,MI,42716,0,0,14,0,4,8,37,12,4,79
138187003,Valencia College,East Campus,FL,42631,0,0,0,0,0,0,0,2,0,2
138187002,Valencia College,West Campus,FL,42631,0,0,0,0,0,2,0,1,0,3
236948001,University of Washington-Seattle Campus,Main Campus,WA,42444,0,0,5,0,3,3,40,1,0,52
132709009,Broward College,Miramar Town Center,FL,42198,0,0,0,0,0,0,0,0,0,0
132709004,Broward College,Willis Holcombe Center,FL,42198,0,0,0,0,0,0,0,0,0,0
132709003,Broward College,South Campus,FL,42198,0,0,0,0,0,0,0,2,0,2
132709002,Broward College,North Campus,FL,42198,0,0,0,0,0,1,3,0,0,4
132709001,Broward College,Central Campus,FL,42198,0,0,0,0,3,1,3,8,0,15
240444001,University of Wisconsin-Madison,Main Campus,WI,41946,0,0,24,0,2,3,32,3,1,65
134097001,Florida State University,Main Campus,FL,41087,0,1,2,0,8,8,67,10,1,97
243780006,Purdue University-Main Campus,Vincennes Campus,IN,40849,0,0,3,0,0,0,16,0,0,19
