ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime,
153524001,Iowa Central Community College,Main Campus,IA,5731,0,0,0,0,0,0,4,0,0,4,
153603001,Iowa State University,Iowa State University,IA,26160,0,0,4,0,2,7,43,6,3,65,
153630001,Iowa Western Community College,Main Campus,IA,0,0,0,1,0,0,1,1,1,0,4,
153658001,University of Iowa,Main Campus,IA,29117,0,0,6,0,1,6,36,4,1,54,
154022001,Ashford University,Main Campus,IA,10568,0,0,2,0,0,0,1,0,0,3,
154095001,University of Northern Iowa,Main Campus,IA,12692,0,0,8,0,0,1,8,0,0,17,
154572001,Western Iowa Tech Community College,Sioux City Campus,IA,5191,0,0,0,0,0,0,0,0,0,0,
142115001,Boise State University,Main Campus,ID,0,0,0,7,0,0,0,17,3,1,28,
142276001,Idaho State University,ISU -- Pocatello Campus,ID,13208,0,0,4,0,0,0,1,1,0,6,
142285001,University of Idaho,Main Campus,ID,11636,0,0,4,0,1,0,10,0,0,15,
142443001,North Idaho College,Main Campus,ID,0,0,0,0,0,0,1,8,0,0,9,
142522001,Brigham Young University-Idaho,BYU-Idaho,ID,13824,0,0,0,0,0,0,3,1,2,6,
142559001,College of Southern Idaho,Main Campus,ID,7118,0,0,0,0,0,0,2,0,0,2,
143118001,Aurora University,Main Campus,IL,3946,0,0,0,0,1,0,1,0,0,2,
143215001,Southwestern Illinois College,Belleville Campus,IL,13713,0,0,1,0,0,1,5,0,1,8,
143215003,Southwestern Illinois College,Granite City Campus,IL,13713,0,0,0,0,0,0,0,1,0,1,
143279001,Black Hawk College,Moline Campus,IL,6311,0,0,0,0,0,0,0,0,0,0,
143279002,Black Hawk College,Kewanee Campus,IL,6311,0,0,0,0,0,0,0,0,0,0,
143358001,Bradley University,Main Campus,IL,6053,0,0,5,0,0,9,18,0,0,32,
144005001,Chicago State University,Main Campus,IL,6810,0,0,0,0,0,0,1,0,0,1,
144050001,University of Chicago,Main Campus,IL,14538,0,0,3,0,0,0,68,0,0,71,
144157001,City Colleges of Chicago-Kennedy-King College,Main Campus,IL,6140,0,0,1,0,1,3,4,4,0,13,
144166001,City Colleges of Chicago-Malcolm X College,Main Campus,IL,6031,0,0,0,0,0,0,0,0,0,0,
144184001,City Colleges of Chicago-Harry S Truman College,Main Campus,IL,11354,0,0,0,0,0,0,0,0,0,0,
144193001,City Colleges of Chicago-Richard J Daley College,Main Campus,IL,9679,0,0,0,0,0,0,0,0,0,0,
144193002,City Colleges of Chicago-Richard J Daley College,West Side Technical Institute,IL,9679,0,0,0,0,0,0,0,1,0,1,
144209001,City Colleges of Chicago-Harold Washington College,Main Campus,IL,8633,0,0,0,0,0,0,0,0,0,0,
144281001,Columbia College Chicago,Main Campus,IL,12021,0,0,0,0,0,1,30,0,1,32,
144351001,Concordia University,Main Campus,IL,4126,0,0,0,0,0,0,8,0,0,8,
144740001,DePaul University,Main Campus - Lincoln Park Campus,IL,23401,0,0,2,0,5,0,16,0,0,23,
144740002,DePaul University,Loop Campus,IL,23401,0,0,0,0,0,0,1,0,0,1,
144865001,College of DuPage,Main Campus,IL,25768,0,0,0,0,2,1,9,0,0,12,
144865008,College of DuPage,Carol Stream Community Education Center,IL,25768,0,0,0,0,0,0,0,0,0,0,
144892001,Eastern Illinois University,Main Campus,IL,12179,0,0,1,0,0,2,17,1,0,21,
144944001,Elgin Community College,Spartan Drive Campus,IL,9613,0,0,0,0,0,0,0,1,0,1,
145336001,Governors State University,Main Campus,IL,5692,0,0,0,0,0,0,0,0,0,0,
145600001,University of Illinois at Chicago,Main Campus,IL,25747,0,0,1,0,6,9,22,3,0,41,
145600003,University of Illinois at Chicago,UIC College of Medicine at Peoria,IL,25747,0,0,0,0,0,0,0,0,0,0,
145619001,Benedictine University,Main Campus,IL,4573,0,0,0,0,0,0,8,0,0,8,
145637001,University of Illinois at Urbana-Champaign,Main Campus,IL,42326,0,0,9,0,9,11,83,6,0,118,
145682001,Illinois Central College,Main Campus,IL,11804,0,0,0,0,0,0,14,0,0,14,
145682003,Illinois Central College,Peoria North,IL,11804,0,0,0,0,0,0,0,0,0,0,
145725001,Illinois Institute of Technology,Main Campus,IL,7277,0,0,2,0,13,8,23,12,0,58,
145725005,Illinois Institute of Technology,Institute of Design,IL,7277,0,0,0,0,0,0,0,0,0,0,
145813001,Illinois State University,Main Campus,IL,20274,0,0,2,0,1,3,39,0,4,49,
146472001,College of Lake County,Main Campus,IL,16010,0,0,0,0,0,0,4,0,0,4,
146472002,College of Lake County,Lakeshore Campus,IL,16010,0,0,0,0,0,0,0,0,0,0,
146603001,Lewis and Clark Community College,Main Campus,IL,7875,0,0,0,0,4,0,0,0,0,4,
146612001,Lewis University,Main Campus,IL,5327,0,0,1,0,0,0,3,0,0,4,
146685001,Lincoln Land Community College,Main Campus,IL,6655,0,0,0,0,0,2,1,0,0,3,
146719001,Loyola University Chicago,Main Campus,IL,15545,0,0,4,0,2,1,12,0,0,19,
146719002,Loyola University Chicago,Water Tower Campus,IL,15545,0,0,0,0,0,0,4,0,0,4,
147004001,McHenry County College,Main Campus,IL,5274,0,0,0,0,0,0,17,0,0,17,
147378001,Moraine Valley Community College,Moraine Valley Community College,IL,15859,0,0,0,0,0,0,0,0,0,0,
147703001,Northern Illinois University,Main Campus,IL,25254,0,0,17,0,2,7,66,0,0,92,
147767001,Northwestern University,Main Campus,IL,19005,0,0,5,0,1,1,109,2,1,119,
147767002,Northwestern University,Graduate,IL,19005,0,0,0,0,1,0,51,1,0,53,
147916001,Parkland College,Main Campus,IL,9407,0,0,0,0,0,0,4,0,0,4,
148487001,Roosevelt University,Chicago Campus,IL,7163,0,0,0,0,0,0,1,0,0,1,
148654001,University of Illinois at Springfield,University of Illinois at Springfield,IL,4855,0,0,3,0,0,2,6,1,0,12,
149222001,Southern Illinois University Carbondale,Southern Illinois University Carbondale,IL,20983,0,0,7,0,8,8,64,1,0,88,
149231001,Southern Illinois University Edwardsville,Main Campus,IL,13398,0,0,0,0,0,0,4,1,0,5,
149532001,Triton College,Main Campus,IL,15658,0,0,0,0,0,0,16,2,0,18,
149772001,Western Illinois University,Macomb Campus,IL,13331,0,0,6,0,1,4,38,1,2,52,
149842001,Harper College,Palatine Campus,IL,15156,0,0,0,0,0,4,11,0,0,15,
150136001,Ball State University,Main Campus,IN,19849,0,0,4,0,1,1,33,2,0,41,
150987001,Ivy Tech Community College-Central Indiana,Main Campus,IN,0,0,0,0,0,0,0,0,2,0,2,
151102001,Indiana University-Purdue University-Fort Wayne,Main Campus,IN,11943,0,0,1,0,0,1,11,1,0,14,
151111001,Indiana University-Purdue University-Indianapolis,Main Campus,IN,29854,0,0,1,0,0,6,93,11,0,111,
151111002,Indiana University-Purdue University-Indianapolis,Indiana University Purdue University Columbus,IN,29854,0,0,0,0,0,0,0,0,0,0,
151263001,University of Indianapolis,UNIVERSITY OF INDIANAPOLIS,IN,0,0,0,1,0,2,0,22,2,1,28,
151290001,Indiana Institute of Technology,INDIANA INSTITUTE OF TECHNOLOGY,IN,0,0,0,0,0,0,5,16,0,0,21,
151306001,University of Southern Indiana,Main Campus,IN,9939,0,0,0,0,0,1,6,0,1,8,
151324001,Indiana State University,Main Campus,IN,10543,0,0,3,0,0,1,44,1,0,49,
151342001,Indiana University-South Bend,Main Campus,IN,7517,0,0,0,0,0,0,12,6,0,18,
151351001,Indiana University-Bloomington,Indiana University - Bloomington Campus,IN,38990,0,0,8,0,5,9,75,13,0,110,
151360001,Indiana University-Northwest,Main Campus,IN,4790,0,0,0,0,0,0,0,0,0,0,
151801001,Indiana Wesleyan University,Main Campus,IN,0,0,0,0,0,0,0,12,0,0,12,
152080001,University of Notre Dame,Main Campus,IN,11733,0,0,7,0,0,2,37,5,0,51,
152248001,Purdue University-Calumet Campus,Main Campus,IN,9607,0,0,1,0,0,1,2,1,0,5,
152266001,Purdue University-North Central Campus,Main Campus,IN,3904,0,0,0,0,0,0,3,0,0,3,
152637001,Vincennes University,Main Campus,IN,10750,0,0,1,0,0,0,3,3,0,7,
243780001,Purdue University-Main Campus,Main Campus,IN,40534,0,0,9,0,2,1,72,4,0,88,
154697001,Barton County Community College,Barton County Community College,KS,3900,0,0,1,0,0,1,6,0,0,8,
154800001,Butler Community College,Main Campus,KS,8096,0,0,1,0,0,0,5,0,0,6,
155025001,Emporia State University,Emporia State University,KS,6354,0,0,1,0,0,1,4,0,0,6,
155061001,Fort Hays State University,Main Campus,KS,9588,0,0,0,0,0,1,16,0,0,17,
155195001,Hutchinson Community College,Main Campus,KS,0,0,0,0,0,0,1,1,0,1,3,
155210001,Johnson County Community College,Main Campus,KS,18897,0,0,0,0,0,7,12,1,0,20,
155292001,Kansas City Kansas Community College,KCKCC CAMPUS,KS,5801,0,0,0,0,0,0,5,2,0,7,
155317001,University of Kansas,Main Campus (Lawrence),KS,28569,0,0,6,0,0,2,65,4,1,78,
155317003,University of Kansas,Medical Center (Kansas City),KS,28569,0,0,2,0,2,0,0,8,0,12,
155399001,Kansas State University,Main Campus,KS,23332,0,0,8,0,1,4,34,0,0,47,
155399002,Kansas State University,Kansas State University at Salina,KS,23332,0,0,0,0,0,0,4,0,0,4,
155681001,Pittsburg State University,Pittsburg State University,KS,7087,0,0,6,0,0,0,2,0,6,14,
156082001,Washburn University,WASHBURN UNIVERSITY,KS,4084,0,0,5,0,0,0,17,0,0,22,
156125001,Wichita State University,Main Campus,KS,14226,0,0,1,0,2,1,10,5,1,20,
156541001,University of the Cumberlands,Main Campus,KY,2245,0,0,0,0,0,0,16,0,0,16,
156620001,Eastern Kentucky University,Main Campus,KY,15839,0,0,4,0,2,3,46,0,2,57,
156921001,Jefferson Community and Technical College,Main Campus,KY,0,0,0,0,0,0,0,0,1,0,1,
156921003,Jefferson Community and Technical College,Jefferson Technical Campus,KY,0,0,0,0,0,0,0,0,0,0,0,
