UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
231411001,Advanced Technology Institute,Main Campus,5700 SOUTHERN BLVD STE 100,VIRGINIA BEACH,VA,23462,6,"Private for-profit, 2-year",827,0,0,0,0,0,0,0,1,0,1
231411002,Advanced Technology Institute,ATI - Witchduck,129 N. Witchduck Rd,Virginia Beach,VA,234626555,6,"Private for-profit, 2-year",827,0,0,0,0,0,0,0,0,0,0
231420001,Averett University,Main Campus,420 W MAIN ST,DANVILLE,VA,24541,2,"Private nonprofit, 4-year or above",917,0,0,1,0,0,1,6,0,0,8
231536001,Blue Ridge Community College,Weyers Cave Campus,One College Lane,WEYERS CAVE,VA,244860080,4,"Public, 2-year",4883,0,0,0,0,0,0,0,0,0,0
231554001,Bluefield College,Main Campus,3000 COLLEGE DR,BLUEFIELD,VA,24605,2,"Private nonprofit, 4-year or above",753,0,0,0,0,0,0,1,0,0,1
231581001,Bridgewater College,Main Campus,402 E COLLEGE ST,BRIDGEWATER,VA,228121599,2,"Private nonprofit, 4-year or above",1590,0,0,0,0,0,0,11,0,0,11
231624001,College of William and Mary,Main Campus,PO Box 8795,WILLIAMSBURG,VA,231878795,1,"Public, 4-year or above",7874,0,0,5,0,1,3,17,0,1,27
231642001,MedSpa Careers Institute,MedSpa Careers Institute - Richmond,"800 Moorefield Park Drive, #302",Richmond,VA,23236,6,"Private for-profit, 2-year",131,0,0,0,0,0,0,0,0,0,0
231651001,Regent University,Main Campus,1000 REGENT UNIVERSITY DR,VIRGINIA BEACH,VA,23464,2,"Private nonprofit, 4-year or above",4656,0,0,0,0,0,1,0,0,0,1
231688001,Central School of Practical Nursing,Main Campus,1330 N Millitary Hwy,Norfolk,VA,23502,7,"Public, less-than 2-year",53,0,0,0,0,0,0,0,0,0,0
231697001,Central Virginia Community College,Main Campus,3506 WARDS RD,LYNCHBURG,VA,245022498,4,"Public, 2-year",5420,0,0,0,0,0,0,0,0,0,0
231697002,Central Virginia Community College,Altavista Center,701 Fifth Street,Altavista,VA,245171719,4,"Public, 2-year",5420,0,0,0,0,0,0,0,0,0,0
231697004,Central Virginia Community College,Bedford Center,1633 Venture Blvd.,Bedford,VA,24523,4,"Public, 2-year",5420,0,0,0,0,0,0,0,0,0,0
231697005,Central Virginia Community College,Appomattox Center,136 Carver Lane,Appomattox,VA,24522,4,"Public, 2-year",5420,0,0,0,0,0,0,0,0,0,0
231697006,Central Virginia Community College,Amherst Center,200 Richmond Highway Suite 103,Amherst,VA,24521,4,"Public, 2-year",5420,0,0,0,0,0,0,0,0,0,0
231712001,Christopher Newport University,Main Campus,1 UNIVERSITY PLACE,NEWPORT NEWS,VA,236062998,1,"Public, 4-year or above",4952,0,0,1,0,0,1,0,0,2,4
231721001,Suffolk Beauty Academy,Main Campus,860 PORTSMOUTH BLVD,SUFFOLK,VA,234343020,9,"Private for-profit, less-than 2-year",67,0,0,0,0,0,0,0,0,0,0
231785001,Bryant and Stratton College-Virginia Beach,Main Campus,301 CENTRE POINTE DR,VIRGINIA BEACH,VA,23462,3,"Private for-profit, 4-year or above",752,0,0,0,0,0,0,0,0,0,0
231828001,Bryant and Stratton College-Richmond,Richmond Campus,8141 HULL ST RD,RICHMOND,VA,232356411,3,"Private for-profit, 4-year or above",730,0,0,0,0,1,0,1,1,0,3
231837001,Jefferson College of Health Sciences,JCHS Main Campus,101 Elm Avenue SE,ROANOKE,VA,24013,2,"Private nonprofit, 4-year or above",1041,0,0,0,0,0,0,0,0,0,0
231873001,Dabney S Lancaster Community College,Main Campus,1000 Dabney Drive,Clifton Forge,VA,244221000,4,"Public, 2-year",1582,0,0,0,0,0,0,0,0,0,0
231882001,Danville Community College,Main Campus,1008 S MAIN ST,DANVILLE,VA,245414004,4,"Public, 2-year",4387,0,0,0,0,0,0,0,0,0,0
231970001,Eastern Virginia Medical School,Main Campus,721 Fairfax Ave.,NORFOLK,VA,23507,2,"Private nonprofit, 4-year or above",811,0,0,0,0,0,0,0,0,0,0
232016001,Centura College,Centura College,2697 Dean Drive,Virginia Beach,VA,234527431,3,"Private for-profit, 4-year or above",1639,0,0,0,0,0,0,0,0,0,0
232025001,Emory and Henry College,Main Campus,30461 Garnand Drive,EMORY,VA,243270947,2,"Private nonprofit, 4-year or above",1002,0,0,0,0,0,1,6,0,1,8
232043001,Eastern Mennonite University,Main Campus,1200 PARK RD,HARRISONBURG,VA,228022462,2,"Private nonprofit, 4-year or above",1525,0,0,0,0,0,0,3,0,0,3
232052001,Eastern Shore Community College,Main Campus,29300 LANKFORD HWY,MELFA,VA,23410,4,"Public, 2-year",987,0,0,0,0,0,0,0,0,0,0
232089001,Ferrum College,Ferrum College,215 Ferrum Mountain Road,FERRUM,VA,240889000,2,"Private nonprofit, 4-year or above",1425,0,0,1,0,1,3,3,0,0,8
232186001,George Mason University,Main Campus,4400 UNIVERSITY DR,FAIRFAX,VA,220304444,1,"Public, 4-year or above",32067,0,0,5,0,0,1,4,4,2,16
232195001,Germanna Community College,Locust Grove Campus,2130 GERMANNA HWY,LOCUST GROVE,VA,225082102,4,"Public, 2-year",7035,0,0,0,0,0,0,0,0,0,0
232195002,Germanna Community College,Fredericksburg Area Campus,10000 Germanna Point Drive,Fredericksburg,VA,224089543,4,"Public, 2-year",7035,0,0,0,0,0,0,0,0,0,0
232195003,Germanna Community College,Daniel Technology Center,18121 Technology Drive,Culpeper,VA,22701,4,"Public, 2-year",7035,0,0,0,0,0,0,0,0,0,0
