ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
134495003,Hillsborough Community College,Plant City Campus,FL,27298,0,0,0,0,0,0,1,0,0,1
207500001,University of Oklahoma-Norman Campus,Norman Campus,OK,27261,0,0,12,0,0,1,8,10,2,33
199139001,University of North Carolina at Charlotte,Main Campus,NC,27238,0,0,39,0,1,0,21,10,0,71
155317001,University of Kansas,Main Campus (Lawrence),KS,27180,0,0,24,0,2,4,36,4,0,70
155317003,University of Kansas,Medical Center (Kansas City),KS,27180,0,0,1,0,0,3,4,2,1,11
202356001,Cuyahoga Community College District,Metropolitan Campus,OH,27084,0,0,2,0,4,0,2,3,0,11
169248001,Central Michigan University,Main Campus,MI,26879,0,0,13,0,2,0,5,0,1,21
187532001,Central New Mexico Community College,Main Campus,NM,26771,0,0,0,0,0,1,0,10,0,11
187532003,Central New Mexico Community College,Joseph M. Montoya Campus,NM,26771,0,0,0,0,0,0,1,0,0,1
121044001,Pasadena City College,Pasadena City College - Main Campus,CA,26611,0,0,1,0,1,1,0,2,0,5
121044003,Pasadena City College,Rosemead Campus,CA,26611,0,0,1,0,0,0,0,0,0,1
190521001,CUNY Borough of Manhattan Community College,Borough of Manhattan Community College,NY,26606,0,0,0,0,0,2,0,0,0,2
129020001,University of Connecticut,Main Campus,CT,26541,0,0,53,0,2,8,25,13,6,107
129020002,University of Connecticut,University of Connecticut School of Medicine and Dentistry,CT,26541,0,0,1,0,0,1,0,0,0,2
212054001,Drexel University,University City Campus,PA,26359,0,0,8,0,1,4,9,1,0,23
212054004,Drexel University,Queen Lane Campus,PA,26359,0,0,0,0,0,0,0,1,0,1
106397001,University of Arkansas,Main Campus,AR,26237,0,0,4,0,1,0,23,21,0,49
207388001,Oklahoma State University-Main Campus,Oklahoma State University - Stillwater,OK,25962,0,0,8,0,1,1,28,7,0,45
