ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
234933001,Clark College,Main Campus,WA,13137,0,0,1,0,0,0,0,8,0,9
228316001,Southwest Texas Junior College,SWTJC Main Campus,TX,6235,0,0,0,0,0,0,2,0,0,2
222062002,Walters State Community College, Greene County Campus,TN,6959,0,0,0,0,0,0,0,0,0,0
222062004,Walters State Community College,Claiborne County Extension,TN,6959,0,0,0,0,0,0,0,0,0,0
190673001,CUNY Queensborough Community College,Queensborough Community College,NY,15316,0,0,2,0,0,2,1,0,1,6
196176001,State University of New York,College at New Paltz,NY,7754,0,0,2,0,1,0,10,0,2,15
196264001,SUNY Empire State College,Main Campus,NY,11985,0,0,0,0,0,0,1,0,0,1
177472001,Ozarks Technical Community College, Springfield Campus,MO,13907,0,0,0,0,0,0,0,0,0,0
133553001,Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach - FL Campus,FL,5077,0,0,0,0,1,1,9,3,0,14
110510001,California State University-San Bernardino,California State University -  San Bernardino,CA,16400,0,0,0,0,1,0,16,4,0,21
110608001,California State University-Northridge,California State University -  Northridge,CA,35272,0,0,4,0,3,3,38,11,1,60
126119001,Yuba College,Yuba College - Marysville,CA,7634,0,0,1,0,1,0,10,1,0,13
106245001,University of Arkansas at Little Rock,University of Arkansas -  Little Rock,AR,13176,0,0,1,0,0,1,3,3,0,8
162928002,Johns Hopkins University,Johns Hopkins Medical Institutions,MD,20977,1,0,0,0,0,1,0,0,0,2
162928001,Johns Hopkins University,JHU HOMEWOOD CAMPUS,MD,20977,0,0,0,0,1,0,1,0,0,2
104151001,Arizona State University,Tempe Campus,AZ,70440,0,0,6,0,3,12,95,18,6,140
104151002,Arizona State University,Downtown Phoenix Campus,AZ,70440,0,0,2,0,1,1,2,0,0,6
104151003,Arizona State University,Polytechnic Campus,AZ,70440,0,0,0,0,0,1,8,0,0,9
104151004,Arizona State University,West Campus,AZ,70440,0,0,0,0,0,0,4,0,0,4
154022001,Ashford University,Main Campus,IA,63096,0,0,2,0,0,0,2,0,0,4
135717001,Miami Dade College,Main-Wolfson,FL,61674,0,0,0,0,1,0,3,1,0,5
135717002,Miami Dade College,North Campus,FL,61674,0,0,0,0,1,0,1,16,0,18
135717003,Miami Dade College,Kendall Campus,FL,61674,0,0,0,0,4,0,0,13,1,18
